Brand,Type,Name,Selling_Price,Original_Price,Display,Rating,Strap_Material,avg_battery_life
Noise ,Smartwatch,ColorFit Brio,3499,5999,AMOLED Display,4.3,Thermoplastic polyurethane,7
Noise ,Smartwatch,NoiseFit Endure,2999,5999,AMOLED Display,3.9,Silicone,7
Noise ,Smartwatch,NoiseFit Endure,2599,5999,AMOLED Display,3.9,Silicone,7
Noise ,Smartwatch,ColorFit Pro,2513,4999,AMOLED Display,3.9,Silicone,7
Noise ,Smartwatch,ColorFit Pro,2499,4999,AMOLED Display,3.9,Silicone,7
Noise ,Smartwatch,Fit Evolve,5499,7999,AMOLED Display,3.9,Thermoplastic polyurethane,7
Noise ,Smartwatch,Fusiom Hybrid,5999,9999,AMOLED Display,4,Thermoplastic polyurethane,7
Noise ,Smartwatch,Evolve,4999,7999,AMOLED Display,3.9,Thermoplastic polyurethane,7
Noise ,Smartwatch,NoiseFit Endure,2799,5999,AMOLED Display,3.9,Thermoplastic polyurethane,7
Honor,Smartwatch,Z1,5499,5499,OLED Display,3.1,Silicone,14
Honor,Smartwatch,GS Pro,13999,20999,AMOLED Display,4.4,Nylon,25
Honor,Smartwatch,GS Pro,17999,20999,AMOLED Display,4.4,Nylon,25
Honor,Smartwatch,Watch Magic,7999,17999,AMOLED Display,4.3,Silicone,7
Honor,Smartwatch,Magic Watch 2,13999,15999,AMOLED Display,4.4,Leather,14
Honor,Smartwatch,Watch ES,4999,10999,AMOLED Display,4.3,Silicone,10
Honor,Smartwatch,Magic Watch,9047,17999,AMOLED Display,4.3,Silicone,7
huami,Smartwatch,Amazfit GTS,5499,12999,AMOLED Display,4.3,Silicone,14
huami,Smartwatch,Amazfit GTS,5299,12999,AMOLED Display,4.3,Silicone,14
huami,Smartwatch,Amazfit GTS,5999,12999,AMOLED Display,4.3,Silicone,14
huami,Smartwatch,Amazfit GTS,5499,12999,AMOLED Display,4.3,Silicone,14
huami,Smartwatch,Amazfit Bip U,2999,5999,AMOLED Display,4.2,Silicone,9
huami,Smartwatch,Amazfit Bip S Lite,1999,4999,AMOLED Display,3.9,Silicone,14
huami,Smartwatch,Amazfit T-Rex,5999,10999,AMOLED Display,4.3,Silicone,20
huami,Smartwatch,Amazfit GTS 2e,7999,13999,AMOLED Display,4.2,Silicone,14
huami,Smartwatch,Amazfit GTR 2 Aluminium,11999,17999,AMOLED Display,4.1,Silicone,10
huami,Smartwatch,Amazfit GTS 2,11999,17999,AMOLED Display,4.1,Silicone,7
huami,Smartwatch,Amazfit GTR 2 Stainless Steel,12499,17999,AMOLED Display,4.1,Silicone,10
huami,Smartwatch,Amazfit Bip,5499,6999,AMOLED Display,4.2,Silicone,28
huami,Smartwatch,Amazfit GTR 42 mm Glitter,9999,16999,AMOLED Display,4.2,Silicone,12
huami,Smartwatch,Amazfit Neo,2499,3999,AMOLED Display,4.2,Thermoplastic polyurethane,7
huami,Smartwatch,Amazfit Bip S,5299,6499,AMOLED Display,4,Thermoplastic polyurethane,15
huami,Smartwatch,Amazfit GTR 42,8999,12999,AMOLED Display,4.3,Silicone,14
huami,Smartwatch,Amazfit Stratos 3,13999,17999,AMOLED Display,3.7,Silicone,14
huami,Smartwatch,Amazfit GTR 42,9999,12999,AMOLED Display,4.3,Silicone,12
huami,Smartwatch,Amazfit Pace,9999,10999,AMOLED Display,4.2,Silicone,14
huami,Smartwatch,Amazfit Bip S,2999,4999,AMOLED Display,3.9,Thermoplastic polyurethane,15
huami,Smartwatch,Amazfit Bip S,3799,4999,AMOLED Display,3.9,Thermoplastic polyurethane,15
huami,Smartwatch,Amazfit Bip,5499,5990,AMOLED Display,4.2,Silicone,28
huami,Smartwatch,Amazfit Bip S,4999,5999,AMOLED Display,4,Thermoplastic polyurethane,15
huami,Smartwatch,Amazfit GTR 47,10999,18999,AMOLED Display,4.2,Silicone,25
huami,Smartwatch,Amazfit GTR 47,8999,13999,AMOLED Display,4.3,Silicone,25
huami,Smartwatch,Amazfit Verge,12999,12999,AMOLED Display,4.1,Silicone,25
huami,Smartwatch,Amazfit Verge,11999,12999,AMOLED Display,4.1,Silicone,25
huami,Smartwatch,Amazfit Verge,5999,8999,AMOLED Display,4.2,Silicone,14
huami,Smartwatch,Amazfit Bip,4950,5990,AMOLED Display,4.2,Silicone,28
huami,Smartwatch,Amazfit Verge,11999,12999,AMOLED Display,4.1,Silicone,7
huami,Smartwatch,Amazfit Bip,5499,6999,AMOLED Display,4.2,Silicone,28
huami,Smartwatch,Amazfit Stratos,12999,15999,AMOLED Display,4.2,Silicone,25
huami,Smartwatch,Amazfit Bip Lite,3499,5499,AMOLED Display,4,Thermoplastic polyurethane,7
huami,Smartwatch,Amazfit Verge Lite,5999,8999,AMOLED Display,4.2,Silicone,5
huami,Smartwatch,Amazfit Bip,6399,7399,AMOLED Display,4.4,Silicone,28
huami,Smartwatch,Bip Lite On,7999,14999,AMOLED Display,4.1,Silicone,7
SAMSUNG ,Smartwatch,Galaxy Active 2,11990,25990,AMOLED Display,4.5,Silicone,7
SAMSUNG ,Smartwatch,Galaxy Active 2,12990,25990,AMOLED Display,4.5,Silicone,7
SAMSUNG ,Smartwatch,Galaxy Classic 4,32959,37999,AMOLED Display,4.6,Elastomer,14
SAMSUNG ,Smartwatch,Galaxy Classic 4,40000,42999,AMOLED Display,4.6,Elastomer,14
SAMSUNG ,Smartwatch,Galaxy Classic 4,34999,37999,AMOLED Display,4.6,Elastomer,14
SAMSUNG ,Smartwatch,Galaxy Classic 4 LTE,28999,31999,AMOLED Display,5,Elastomer,14
SAMSUNG ,FitnessBand,Galaxy Fit-e Smart,2000,2590,PMOLED Display,3.8,Rubber,7
SAMSUNG ,FitnessBand,Galaxy Fit-e Smart,2490,2590,PMOLED Display,3.8,Rubber,7
SAMSUNG ,FitnessBand,Galaxy Fit,8990,9990,AMOLED Display,4,Rubber,7
SAMSUNG ,Smartwatch,Galaxy Watch 3,28990,30990,AMOLED Display,4.3,Leather,14
SAMSUNG ,Smartwatch,Galaxy Watch 4 LTE,31999,34999,AMOLED Display,4.6,Elastomer,14
SAMSUNG ,Smartwatch,Galaxy Watch 4 Classic LTE,40000,42999,AMOLED Display,4.6,Elastomer,14
SAMSUNG ,Smartwatch,Galaxy Watch 4 LTE,28999,31999,AMOLED Display,4.6,Elastomer,14
SAMSUNG ,Smartwatch,Galaxy Active 2,18990,28490,AMOLED Display,4.1,Silicone,14
SAMSUNG ,Smartwatch,Galaxy 46mm,16990,33999,AMOLED Display,4.5,Elastomer,7
SAMSUNG ,Smartwatch,Galaxy Classic 4 LTE,36999,39999,AMOLED Display,4.6,Elastomer,14
SAMSUNG ,Smartwatch,Galaxy Active Steel 2 LTE,30990,34490,AMOLED Display,4.1,Silicone,14
SAMSUNG ,Smartwatch,Galaxy Active Steel 2,24490,31990,AMOLED Display,4.3,Silicone,14
SAMSUNG ,Smartwatch,Galaxy Classic 4,34999,34999,AMOLED Display,4.6,Silicone,14
SAMSUNG ,Smartwatch,Galaxy Active 42mm,19990,19990,AMOLED Display,4.4,Elastomer,14
SAMSUNG ,Smartwatch,Galaxy 44mm,24490,28490,AMOLED Display,3.6,Silicone,14
SAMSUNG ,Smartwatch,Galaxy LTE,31999,31999,AMOLED Display,4.6,Elastomer,14
SAMSUNG ,Smartwatch,Gear Fit 2,15000,15000,AMOLED Display,4.2,Silicone,7
SAMSUNG ,Smartwatch,Gear Fit,7999,16860,AMOLED Display,3.9,Silicone,7
